%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1625078140969120749,517,1625078140927327632,camera_color_optical_frame,259.578643799,104.252571106,0.0,84.5567245483,103.274223328,-84.9893569946,0.0231936387718
1625078141071582840,518,1625078141026662349,camera_color_optical_frame,258.618591309,105.570480347,0.0,82.7113800049,104.428161621,-85.4379043579,0.0223511643708
1625078141163702614,519,1625078141124334573,camera_color_optical_frame,258.619171143,105.570732117,0.0,84.4170303345,107.411804199,-79.2681427002,0.0213175490499
1625078141257473816,520,1625078141223511457,camera_color_optical_frame,259.244262695,105.544380188,0.0,79.1103668213,112.331497192,-77.7631835938,0.0198513139039
1625078141348011113,521,1625078141311578989,camera_color_optical_frame,259.595825195,106.531158447,0.0,83.4108123779,104.402961731,-84.7155303955,0.0228255577385
1625078141438811305,522,1625078141403611898,camera_color_optical_frame,259.922576904,106.543281555,0.0,80.4380722046,105.007667542,-87.0408630371,0.0225096084177
1625078141529515395,523,1625078141494055509,camera_color_optical_frame,259.928833008,107.197090149,0.0,81.7224273682,108.891921997,-80.1544647217,0.0214084908366
1625078141612849764,524,1625078141577167510,camera_color_optical_frame,259.919891357,106.588562012,0.0,83.6405181885,99.4782180786,-90.8115615845,0.0243134610355
1625078141707880091,525,1625078141670287609,camera_color_optical_frame,260.236968994,107.534492493,0.0,79.1691589355,102.420043945,-91.6255950928,0.0240710154176
1625078141810587702,526,1625078141773058891,camera_color_optical_frame,259.247833252,111.776863098,0.0,79.2413482666,115.153999329,-72.888168335,0.0189539343119
1625078141905163727,527,1625078141865388870,camera_color_optical_frame,259.254333496,112.742980957,0.0,81.2291564941,114.94002533,-70.8081512451,0.018632736057
1625078141995153494,528,1625078141958198308,camera_color_optical_frame,259.591491699,113.384819031,0.0,80.0478439331,112.96219635,-75.6593780518,0.0196323469281
1625078142088051330,529,1625078142048981904,camera_color_optical_frame,259.281280518,113.376327515,0.0,78.1153411865,115.789886475,-73.118347168,0.0187106523663
1625078142179767441,530,1625078142142883300,camera_color_optical_frame,259.591918945,113.38319397,0.0,77.7359619141,115.069343567,-74.8072433472,0.0189110059291
1625078142270618175,531,1625078142234814167,camera_color_optical_frame,259.601074219,114.031341553,0.0,76.8936386108,111.513793945,-81.443862915,0.0203761216253
