%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1647291981580119307,1326,1647291981544950246,camera_color_optical_frame,331.742828369,79.3469085693,0.0,56.8366546631,103.180877686,-136.071166992,0.0288970135152
1647291981686615764,1327,1647291981658521652,camera_color_optical_frame,332.019561768,78.8313903809,0.0,58.965763092,106.039245605,-132.58782959,0.0267422702163
1647291981777563775,1328,1647291981751961231,camera_color_optical_frame,330.959075928,79.6006469727,0.0,50.9053955078,99.0830917358,-141.921890259,0.0329484976828
1647291981940587891,1329,1647291981912701845,camera_color_optical_frame,330.715118408,80.1200027466,0.0,47.5413551331,101.221984863,-141.541732788,0.0325761511922
1647291982195238222,1330,1647291982165321111,camera_color_optical_frame,333.066772461,79.8695983887,0.0,60.3661727905,106.313812256,-131.642562866,0.0255150552839
1647291982769754439,1331,1647291982737420320,camera_color_optical_frame,334.096740723,86.3671188354,0.0,36.5597000122,115.030807495,-133.223892212,0.0247057005763
1647291983023191909,1332,1647291982992973804,camera_color_optical_frame,334.096862793,85.6051940918,0.0,35.0127105713,109.819534302,-138.454437256,0.0288843233138
1647291983563307205,1333,1647291983537580728,camera_color_optical_frame,339.82800293,98.3914413452,0.0,36.2139930725,106.706283569,-140.789733887,0.0308499746025
1647291983819984272,1334,1647291983790881872,camera_color_optical_frame,339.592498779,99.9624099731,0.0,28.482257843,116.689941406,-133.808609009,0.0252384934574
1647291984249062513,1335,1647291984215574741,camera_color_optical_frame,350.003875732,117.177368164,0.0,4.78471183777,124.487350464,-129.207336426,0.0200240407139
1647291984825850620,1336,1647291984800418138,camera_color_optical_frame,346.368896484,145.910552979,0.0,-11.2243003845,141.134262085,-108.077880859,0.0150375617668
1647291985074139135,1337,1647291985043065309,camera_color_optical_frame,344.031433105,147.989959717,0.0,-15.8822917938,138.367706299,-111.345062256,0.0170176941901
1647291985663366311,1338,1647291985639660835,camera_color_optical_frame,320.275177002,123.985450745,0.0,9.44138145447,144.062210083,-103.90574646,0.0152032952756
1647291985921858509,1339,1647291985885234832,camera_color_optical_frame,320.531463623,123.194282532,0.0,8.61844444275,146.516387939,-100.113426208,0.0128589356318
