%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1647959017664120466,6353,1647959017636330127,camera_color_optical_frame,451.313873291,68.0970306396,0.0,-31.4602470398,170.564208984,-96.5971984863,0.00897366646677
1647959017739009804,6354,1647959017713812589,camera_color_optical_frame,451.324371338,65.7516860962,0.0,-15.1750526428,168.405441284,-104.801452637,0.00963481049985
1647959017991433146,6355,1647959017962770223,camera_color_optical_frame,450.246124268,62.633682251,0.0,-18.1635742188,177.450378418,-86.0624771118,0.00869462732226
1647959018240797636,6356,1647959018210658073,camera_color_optical_frame,451.036376953,63.1582489014,0.0,-16.1136817932,179.442306519,-81.834564209,0.00917256530374
1647959018814436684,6357,1647959018790513992,camera_color_optical_frame,497.103881836,108.506378174,0.0,-48.5054702759,102.466262817,168.588821411,0.038103275001
1647959019056101779,6358,1647959019026439666,camera_color_optical_frame,492.207702637,115.682846069,0.0,-53.9741859436,110.656959534,160.832214355,0.0313814282417
1647959019655067551,6359,1647959019630637407,camera_color_optical_frame,402.820739746,158.750320435,0.0,-52.3833694458,83.7324676514,178.476150513,0.0575703568757
1647959019905059201,6360,1647959019875635147,camera_color_optical_frame,398.903320312,161.685455322,0.0,-48.1782531738,92.8785324097,174.73550415,0.0489829666913
1647959020518321332,6361,1647959020493513584,camera_color_optical_frame,378.373291016,181.618667603,0.0,-49.0573348999,80.1837005615,181.306716919,0.0626127049327
1647959020779174150,6362,1647959020746679782,camera_color_optical_frame,378.994567871,181.26651001,0.0,-48.7393035889,79.2718811035,181.845230103,0.0648878440261
1647959021238590610,6363,1647959021202807903,camera_color_optical_frame,386.387969971,174.538726807,0.0,-58.786907196,100.53175354,166.237854004,0.0440768674016
1647959021988393277,6364,1647959021964829206,camera_color_optical_frame,381.270721436,136.22428894,0.0,-31.6335220337,62.9235229492,192.787094116,0.0889880731702
1647959022238820428,6365,1647959022210746526,camera_color_optical_frame,384.552124023,134.281982422,0.0,-26.5881843567,54.5326766968,196.42906189,0.106881432235
1647959022868164222,6366,1647959022837960958,camera_color_optical_frame,378.154571533,124.061012268,0.0,-39.0989570618,58.3889541626,192.850448608,0.1100487113
1647959023427659966,6367,1647959023402315616,camera_color_optical_frame,324.626586914,154.95489502,0.0,-39.3201789856,73.3297805786,187.060089111,0.0898939073086
1647959023690019368,6368,1647959023658571004,camera_color_optical_frame,325.049102783,155.39906311,0.0,-40.188041687,72.1148376465,187.378814697,0.0912817269564
1647959024174507206,6369,1647959024148592710,camera_color_optical_frame,329.408416748,163.204101562,0.0,-40.1147155762,60.7881698608,191.794998169,0.110460072756
1647959024435069910,6370,1647959024405000925,camera_color_optical_frame,330.258117676,163.651428223,0.0,-44.9687767029,67.8789672852,187.927597046,0.0963172242045
1647959025002743970,6371,1647959024973458290,camera_color_optical_frame,319.840057373,165.379302979,0.0,-36.8780136108,58.0318374634,193.453689575,0.115301042795
1647959025248574712,6372,1647959025218832492,camera_color_optical_frame,341.15435791,157.127166748,0.0,34.4197425842,42.3158950806,198.408599854,0.108163498342
1647959025836541277,6373,1647959025811445713,camera_color_optical_frame,344.410644531,89.5833740234,0.0,70.099647522,76.9060821533,-175.112579346,0.0327845215797
1647959026100211171,6374,1647959026072230577,camera_color_optical_frame,340.510559082,88.6091918945,0.0,70.8526535034,72.4479751587,-176.874481201,0.0360950157046
1647959026730370406,6375,1647959026705573081,camera_color_optical_frame,277.197357178,60.8039550781,0.0,77.6825637817,95.0904006958,-161.11239624,0.0276106409729
1647959026993046146,6376,1647959026963330984,camera_color_optical_frame,276.168884277,60.8170623779,0.0,76.7594604492,93.6745605469,-162.515548706,0.0281027387828
1647959027536454755,6377,1647959027511511325,camera_color_optical_frame,253.980255127,81.1789855957,0.0,47.0929718018,116.612327576,-158.549377441,0.0227653086185
1647959027799523140,6378,1647959027771704912,camera_color_optical_frame,253.466964722,81.4030456543,0.0,54.6298828125,111.506729126,-159.934082031,0.0229447558522
1647959028396192343,6379,1647959028368185281,camera_color_optical_frame,230.212203979,95.2629318237,0.0,15.2180051804,127.511962891,-156.173965454,0.0259555261582
1647959028658875641,6380,1647959028629230022,camera_color_optical_frame,227.872894287,95.7597808838,0.0,13.8519649506,93.8713684082,-180.793670654,0.0521754287183
1647959029264152383,6381,1647959029239997863,camera_color_optical_frame,258.030548096,96.6530380249,0.0,6.69903993607,62.4063262939,195.698104858,0.0912274941802
1647959029527647545,6382,1647959029500032663,camera_color_optical_frame,241.958129883,94.2087783813,0.0,27.2127037048,27.8054218292,202.448913574,0.216440990567
1647959030134229378,6383,1647959030109978437,camera_color_optical_frame,249.443023682,115.02394104,0.0,87.8700637817,80.8623123169,-163.897415161,0.0241426229477
1647959030400226054,6384,1647959030369337797,camera_color_optical_frame,249.465362549,114.709030151,0.0,87.6443786621,77.606803894,-165.764541626,0.0251812618226
1647959030993005648,6385,1647959030969051837,camera_color_optical_frame,253.966918945,93.6808013916,0.0,78.3203811646,82.5818634033,-168.254180908,0.0348667651415
1647959031257912202,6386,1647959031228281974,camera_color_optical_frame,254.476837158,91.0844497681,0.0,79.1696853638,69.9258575439,-174.068725586,0.0436208955944
1647959031844196135,6387,1647959031815807580,camera_color_optical_frame,249.123443604,82.0653152466,0.0,104.169624329,69.0401000977,-159.240905762,0.0246962178499
1647959032107979431,6388,1647959032075955390,camera_color_optical_frame,249.769378662,81.4168243408,0.0,103.54460907,66.919418335,-160.689117432,0.0241278931499
1647959032741664654,6389,1647959032716931343,camera_color_optical_frame,254.937530518,3.72808432579,0.0,nan,nan,nan,nan
1647959033007889961,6390,1647959032976701259,camera_color_optical_frame,330.709686279,3.75521707535,0.0,nan,nan,nan,nan
1647959033491610885,6391,1647959033461343288,camera_color_optical_frame,269.800262451,17.4418830872,0.0,-11.3310050964,33.9334907532,203.08770752,0.250527471304
1647959034111056166,6392,1647959034087304592,camera_color_optical_frame,123.611450195,6.5746884346,0.0,66.6239013672,8.89255332947,194.053771973,0.0907948166132
1647959034384309160,6393,1647959034350625514,camera_color_optical_frame,134.677947998,7.1306014061,0.0,54.4650611877,24.3974132538,-196.764587402,0.131188869476
1647959034979863217,6394,1647959034955733537,camera_color_optical_frame,100.019950867,61.5275688171,0.0,104.001083374,46.0749282837,-168.302642822,0.0278437100351
1647959035255814245,6395,1647959035218811273,camera_color_optical_frame,96.765335083,63.8094711304,0.0,102.416625977,52.9676132202,-167.127960205,0.0286431778222
1647959035743726501,6396,1647959035715419530,camera_color_optical_frame,115.659133911,67.7218551636,0.0,96.8501281738,12.4551496506,-179.157974243,0.044131949544
1647959036337132038,6397,1647959036312230348,camera_color_optical_frame,128.087768555,65.7954864502,0.0,98.8166732788,36.5086517334,-174.259094238,0.0356042087078
1647959036598805620,6398,1647959036570031404,camera_color_optical_frame,128.742950439,65.7649002075,0.0,99.416229248,34.1411781311,-174.41293335,0.0340261571109
1647959037174221111,6399,1647959037150257587,camera_color_optical_frame,128.087783813,65.7578353882,0.0,101.198165894,34.1638526917,-173.268737793,0.0329387672246
