%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1647958851054894630,4656,1647958851028280019,camera_color_optical_frame,349.32220459,60.8945198059,0.0,96.2194366455,80.6071853638,-144.776565552,0.0273928269744
1647958851123014070,4657,1647958851098651647,camera_color_optical_frame,348.334960938,61.8325119019,0.0,92.8793792725,84.9535522461,-144.439468384,0.0268964730203
1647958851414367899,4658,1647958851380794763,camera_color_optical_frame,349.297241211,60.5389099121,0.0,98.7840957642,81.7441253662,-142.132278442,0.026468032971
1647958852001994434,4659,1647958851976846218,camera_color_optical_frame,344.540283203,54.2630004883,0.0,74.1939849854,113.765090942,-134.081817627,0.0199196878821
1647958852241236517,4660,1647958852211134910,camera_color_optical_frame,344.291015625,53.2285919189,0.0,72.1913452148,113.952224731,-135.113082886,0.0196433998644
1647958852792992629,4661,1647958852768352985,camera_color_optical_frame,342.974639893,52.69921875,0.0,78.7253265381,102.826522827,-140.837844849,0.0244359001517
1647958853042573055,4662,1647958853011674880,camera_color_optical_frame,343.225402832,53.2271499634,0.0,76.9579086304,107.339126587,-138.164138794,0.0225428640842
1647958853591886241,4663,1647958853564132928,camera_color_optical_frame,345.713348389,56.6217575073,0.0,101.481918335,22.4745178223,-162.626113892,0.0389764085412
1647958853840071349,4664,1647958853810177087,camera_color_optical_frame,345.072021484,57.2768249512,0.0,100.23349762,23.431016922,-163.332885742,0.0395735800266
1647958854387953494,4665,1647958854363378763,camera_color_optical_frame,340.179962158,57.2670326233,0.0,99.7703475952,64.9298400879,-150.722442627,0.0358333587646
1647958854641535291,4666,1647958854610591650,camera_color_optical_frame,343.498535156,50.6011581421,0.0,86.6837692261,79.2568664551,-152.091964722,0.0315926522017
1647958855196452781,4667,1647958855172142505,camera_color_optical_frame,324.431732178,63.6635055542,0.0,-14.6624097824,133.559417725,-135.700592041,0.0166373029351
1647958855443474862,4668,1647958855412739992,camera_color_optical_frame,323.903381348,63.9181518555,0.0,-13.6305990219,138.964202881,-129.672454834,0.0150981657207
1647958856023969877,4669,1647958855999353408,camera_color_optical_frame,305.656524658,84.0221557617,0.0,0.791267454624,83.4545059204,-175.215103149,0.0684819743037
1647958856271511493,4670,1647958856242879152,camera_color_optical_frame,304.852050781,84.0357589722,0.0,0.702752768993,88.8951416016,-172.225097656,0.0578818097711
