%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1648593917239690129,2294,1648593917208035230,camera_color_optical_frame,128.411743164,106.540122986,0.0,99.8329772949,45.9778938293,-88.8662109375,0.0332464128733
1648593917317453510,2295,1648593917284400939,camera_color_optical_frame,128.084793091,106.86491394,0.0,98.2546081543,47.1707878113,-90.113899231,0.0330370701849
1648593917411921870,2296,1648593917372107505,camera_color_optical_frame,128.725387573,106.892677307,0.0,99.9494171143,41.2936630249,-91.2380981445,0.0340569838881
1648593917489462700,2297,1648593917455710172,camera_color_optical_frame,128.742019653,107.858642578,0.0,98.8586273193,41.7753448486,-92.3056945801,0.0355310253799
1648593917572711882,2298,1648593917533997774,camera_color_optical_frame,128.751251221,107.537712097,0.0,99.6845626831,40.7656440735,-91.8204040527,0.0342775061727
1648593917664354602,2299,1648593917626485347,camera_color_optical_frame,129.063583374,107.539108276,0.0,99.4416122437,41.4391136169,-91.7782440186,0.0348176695406
1648593917741109542,2300,1648593917710988521,camera_color_optical_frame,129.393203735,108.510543823,0.0,99.2673110962,41.9396591187,-91.7353820801,0.0351191647351
1648593917822956318,2301,1648593917789334774,camera_color_optical_frame,130.344009399,108.184402466,0.0,100.636398315,44.1332397461,-88.8983840942,0.0327644832432
1648593917911661750,2302,1648593917880676031,camera_color_optical_frame,130.676223755,108.512336731,0.0,101.303215027,44.3441047668,-87.9377365112,0.0332601368427
1648593917993979248,2303,1648593917965819358,camera_color_optical_frame,131.349578857,108.519943237,0.0,102.062309265,38.8525428772,-89.8233413696,0.0331954993308
1648593918085503251,2304,1648593918046091318,camera_color_optical_frame,131.011383057,109.154449463,0.0,101.015480042,44.920425415,-87.9803695679,0.0331734269857
1648593918163592766,2305,1648593918132924318,camera_color_optical_frame,131.339385986,109.479293823,0.0,101.542938232,42.0598258972,-88.8698959351,0.0324033349752
1648593918267708431,2306,1648593918229551076,camera_color_optical_frame,130.049346924,110.120574951,0.0,101.662818909,42.8251495361,-88.3112869263,0.0331681780517
1648593918341210376,2307,1648593918308840513,camera_color_optical_frame,128.407455444,111.426254272,0.0,103.9635849,55.3279647827,-76.9084396362,0.0300865527242
1648593918425029884,2308,1648593918393707513,camera_color_optical_frame,126.12928772,113.359352112,0.0,108.103408813,62.3852233887,-63.4165878296,0.0251243673265
1648593918508321503,2309,1648593918472419023,camera_color_optical_frame,123.830574036,114.370498657,0.0,104.090530396,80.9137420654,-44.980052948,0.0244833081961
