%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1625078255790143726,1741,1625078255751815795,camera_color_optical_frame,316.038452148,42.2448005676,0.0,73.3288269043,113.689231873,-135.175018311,0.0193045549095
1625078255886693914,1742,1625078255849239587,camera_color_optical_frame,344.562835693,44.3461265564,0.0,59.9242630005,108.822929382,-146.462432861,0.0208008792251
1625078255972963563,1743,1625078255939729213,camera_color_optical_frame,354.509307861,54.0047912598,0.0,73.2992935181,111.776412964,-136.94871521,0.0200237017125
1625078256070030448,1744,1625078256028412342,camera_color_optical_frame,375.73727417,59.2340087891,0.0,65.3579483032,120.950920105,-132.699691772,0.0182103198022
1625078256157222367,1745,1625078256121424436,camera_color_optical_frame,393.33203125,62.8387069702,0.0,60.1397705078,122.710075378,-133.640853882,0.0174947306514
1625078256257451277,1746,1625078256214480161,camera_color_optical_frame,406.671142578,57.1501121521,0.0,45.3118972778,122.965553284,-139.724304199,0.0165449306369
1625078256347384031,1747,1625078256308143138,camera_color_optical_frame,429.393920898,63.1435775757,0.0,28.3665485382,125.050361633,-142.595016479,0.0170729141682
1625078256442963476,1748,1625078256403933763,camera_color_optical_frame,434.598632812,63.9433135986,0.0,15.7752428055,147.051559448,-119.648963928,0.0129615757614
1625078256535863584,1749,1625078256498885393,camera_color_optical_frame,438.230285645,65.5171203613,0.0,26.4319725037,144.944290161,-120.412940979,0.0123578868806
1625078256620753827,1750,1625078256586694002,camera_color_optical_frame,434.113800049,70.0141906738,0.0,44.850769043,128.081680298,-134.706344604,0.0170040354133
1625078256707068245,1751,1625078256669482707,camera_color_optical_frame,434.47644043,70.3275146484,0.0,59.7351799011,123.727401733,-132.799957275,0.0164675079286
1625078256803978983,1752,1625078256761821985,camera_color_optical_frame,434.827728271,70.6453781128,0.0,62.3644104004,123.027992249,-132.179214478,0.0174142234027
1625078256890859203,1753,1625078256855472326,camera_color_optical_frame,434.148681641,70.0065917969,0.0,72.5235290527,117.372283936,-132.13432312,0.0184352844954
1625078256987264435,1754,1625078256945197820,camera_color_optical_frame,433.829864502,69.9726486206,0.0,72.9489059448,113.546615601,-135.535125732,0.0204199496657
1625078257069327839,1755,1625078257034919261,camera_color_optical_frame,427.631164551,67.065826416,0.0,74.4317550659,110.603317261,-137.32673645,0.0217955224216
1625078257159485830,1756,1625078257120245933,camera_color_optical_frame,423.042205811,66.7260513306,0.0,72.3047485352,102.345245361,-145.440658569,0.0271722227335
1625078257253197809,1757,1625078257214552640,camera_color_optical_frame,416.194274902,64.4498291016,0.0,77.3594970703,98.5282287598,-145.47958374,0.0257488172501
1625078257351162968,1758,1625078257308911323,camera_color_optical_frame,415.21975708,62.5116577148,0.0,74.4019470215,101.522415161,-144.906661987,0.0263506174088
1625078257443429906,1759,1625078257403503417,camera_color_optical_frame,401.507232666,60.2035484314,0.0,78.9684753418,112.271957397,-132.949005127,0.0202822331339
1625078257540072731,1760,1625078257498429536,camera_color_optical_frame,390.102996826,55.9759140015,0.0,74.4517745972,113.982307434,-134.218002319,0.0196227151901
1625078257631603556,1761,1625078257594668388,camera_color_optical_frame,385.27734375,51.9123878479,0.0,39.2201461792,107.114715576,-155.352554321,0.0258472934365
1625078257723747373,1762,1625078257686004638,camera_color_optical_frame,382.391204834,51.9145317078,0.0,37.0607261658,120.385162354,-144.81628418,0.0199373736978
1625078257822056666,1763,1625078257781427145,camera_color_optical_frame,362.565582275,58.4439430237,0.0,4.5512881279,144.489044189,-124.082435608,0.0134364711121
1625078257908742475,1764,1625078257874562740,camera_color_optical_frame,360.473175049,58.4419059753,0.0,-4.1711268425,145.662979126,-122.567153931,0.012243068777
1625078257996821686,1765,1625078257960699319,camera_color_optical_frame,359.680145264,57.9434738159,0.0,2.30792188644,141.723693848,-127.634185791,0.0134098837152
1625078258092681169,1766,1625078258050594568,camera_color_optical_frame,352.910247803,62.0990333557,0.0,-12.005027771,147.576049805,-119.418174744,0.0126324463636
1625078258183732855,1767,1625078258144221782,camera_color_optical_frame,354.473632812,61.3326187134,0.0,-14.1789617538,163.189865112,-93.9211578369,0.00939447060227
1625078258282960904,1768,1625078258239076375,camera_color_optical_frame,354.192474365,61.850566864,0.0,-18.9838104248,164.333312988,-90.7175140381,0.00878087710589
1625078258378886923,1769,1625078258335217952,camera_color_optical_frame,354.721832275,73.0721740723,0.0,-11.8439426422,175.761688232,-64.5517044067,0.0088335191831
1625078258465243918,1770,1625078258429799795,camera_color_optical_frame,359.425262451,80.8941345215,0.0,-6.71145343781,159.9296875,-100.803131104,0.0115715134889
1625078258561579899,1771,1625078258521348237,camera_color_optical_frame,360.990936279,83.252822876,0.0,1.44965314865,154.393966675,-110.167312622,0.0139488400891
1625078258640043305,1772,1625078258604916334,camera_color_optical_frame,366.990875244,91.0938262939,0.0,-4.19332361221,149.053222656,-117.963539124,0.0147482128814
1625078258728820942,1773,1625078258691118478,camera_color_optical_frame,371.15057373,93.1426696777,0.0,7.13331794739,150.845977783,-115.250892639,0.0170692838728
1625078258826356235,1774,1625078258783515453,camera_color_optical_frame,373.520050049,95.2450637817,0.0,8.07785129547,151.020706177,-114.927841187,0.0167760290205
1625078258922735834,1775,1625078258882327318,camera_color_optical_frame,376.393249512,95.7634048462,0.0,8.83566951752,151.41317749,-114.292121887,0.0165710952133
1625078259027671474,1776,1625078258980339288,camera_color_optical_frame,375.618347168,96.5519104004,0.0,6.51857948303,151.809341431,-113.881538391,0.0161696765572
1625078259112119381,1777,1625078259075896263,camera_color_optical_frame,375.061401367,98.3802032471,0.0,0.981189310551,152.565979004,-112.959442139,0.0151228941977
1625078259200046457,1778,1625078259162027597,camera_color_optical_frame,374.553497314,98.923828125,0.0,0.664907991886,147.009002686,-120.851119995,0.0169857367873
1625078259292993365,1779,1625078259256380081,camera_color_optical_frame,371.67779541,102.310043335,0.0,-4.22107076645,149.674194336,-117.087989807,0.0152096906677
1625078259375943735,1780,1625078259343042135,camera_color_optical_frame,371.434936523,103.861419678,0.0,-10.4118385315,157.646774292,-104.376159668,0.0122544467449
1625078259461064673,1781,1625078259420233726,camera_color_optical_frame,373.775115967,104.652694702,0.0,-4.58047246933,160.044845581,-100.732841492,0.0143047133461
1625078259561090906,1782,1625078259516102313,camera_color_optical_frame,371.696899414,106.714958191,0.0,0.0591436028481,154.148590088,-110.557891846,0.0151231978089
1625078259661129296,1783,1625078259627291679,camera_color_optical_frame,369.612915039,110.9320755,0.0,-7.67327213287,171.461929321,-76.8855209351,0.0118727618828
1625078259763275999,1784,1625078259721389532,camera_color_optical_frame,370.927764893,111.696891785,0.0,-5.18750095367,154.751647949,-109.484375,0.0153768453747
1625078259858389642,1785,1625078259816871881,camera_color_optical_frame,371.162628174,112.22743988,0.0,-8.15796756744,140.86428833,-128.420166016,0.0169174186885
1625078259952479006,1786,1625078259916010379,camera_color_optical_frame,370.38092041,109.115982056,0.0,-9.11253833771,147.809402466,-119.381774902,0.0169640686363
1625078260041391972,1787,1625078260004588127,camera_color_optical_frame,366.467529297,110.912078857,0.0,-22.0289878845,139.673583984,-128.054290771,0.0185148455203
1625078260128867671,1788,1625078260094797372,camera_color_optical_frame,364.39175415,108.823036194,0.0,-37.5677947998,138.161071777,-125.846817017,0.0163469053805
1625078260217245887,1789,1625078260180005073,camera_color_optical_frame,363.329986572,109.344825745,0.0,-34.4757194519,139.822113037,-124.790336609,0.0168612524867
1625078260297851636,1790,1625078260262654304,camera_color_optical_frame,363.081573486,107.51374054,0.0,-37.7643814087,134.913818359,-129.628509521,0.017997123301
