%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1647288475267411666,5390,1647288475234060525,camera_color_optical_frame,455.35446167,85.0258178711,0.0,42.6561813354,134.240524292,-97.2728118896,0.014467461966
1647288475367346438,5391,1647288475341421604,camera_color_optical_frame,456.96975708,86.0008010864,0.0,43.7766113281,131.097122192,-101.384742737,0.0157529637218
1647288475580761878,5392,1647288475555346727,camera_color_optical_frame,455.656494141,86.3239212036,0.0,40.929069519,131.85118103,-101.619033813,0.015774205327
1647288475853009400,5393,1647288475819568634,camera_color_optical_frame,456.319763184,87.2980651855,0.0,43.6354904175,130.819610596,-101.848266602,0.0154566429555
1647288476305110166,5394,1647288476273262023,camera_color_optical_frame,458.627380371,106.88230896,0.0,35.6088867188,113.556510925,-125.508163452,0.0236737783998
1647288476854019359,5395,1647288476829387664,camera_color_optical_frame,451.229217529,123.623535156,0.0,16.0067138672,56.7836723328,166.098861694,0.167649656534
1647288477135774359,5396,1647288477102493286,camera_color_optical_frame,436.860748291,120.563949585,0.0,-4.32122039795,46.1551437378,170.482620239,0.230100736022
1647288477974201062,5397,1647288477939918279,camera_color_optical_frame,437.759552002,225.640640259,0.0,-39.2637786865,33.7971191406,168.735336304,0.185348436236
1647288478593786268,5398,1647288478563979148,camera_color_optical_frame,490.601074219,181.935546875,0.0,-27.652305603,43.4621620178,168.834732056,0.168513193727
1647288478839247999,5399,1647288478803188562,camera_color_optical_frame,497.772705078,126.678207397,0.0,71.3735580444,20.4598255157,159.176315308,0.0894224345684
1647288479463007042,5400,1647288479435853004,camera_color_optical_frame,483.426086426,184.552154541,0.0,nan,nan,nan,nan
1647288479726743989,5401,1647288479692660808,camera_color_optical_frame,481.449127197,321.247131348,0.0,-16.9043655396,74.0423126221,158.285491943,0.0748131200671
1647288481185293491,5402,1647288481157082319,camera_color_optical_frame,379.636535645,144.385543823,0.0,-130.5831604,64.6235809326,89.0165100098,0.0292246434838
1647288481423926542,5403,1647288481391585588,camera_color_optical_frame,374.75680542,139.844909668,0.0,-136.731292725,49.957195282,89.2464981079,0.0285373665392
1647288482033197860,5404,1647288482008853435,camera_color_optical_frame,347.681945801,114.073455811,0.0,-115.093460083,10.6954555511,129.000534058,0.0438699573278
1647288482290019680,5405,1647288482255506277,camera_color_optical_frame,351.604187012,114.716026306,0.0,-118.186645508,16.2730407715,125.199577332,0.0400764420629
1647288482796478112,5406,1647288482766015291,camera_color_optical_frame,401.181884766,89.5770187378,0.0,-125.790939331,13.4129199982,-117.103813171,0.0355035923421
1647288483059641555,5407,1647288483026070356,camera_color_optical_frame,401.19720459,89.2276687622,0.0,-127.227516174,4.6787981987,-116.127693176,0.0352280624211
