%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1625078170282072008,826,1625078170244179964,camera_color_optical_frame,225.763442993,77.2300491333,0.0,64.5750579834,124.889816284,-129.03086853,0.0155320325866
1625078170375039539,827,1625078170336293458,camera_color_optical_frame,226.290008545,78.537902832,0.0,59.9356689453,129.72819519,-126.190315247,0.0141956815496
1625078170467615910,828,1625078170430840969,camera_color_optical_frame,227.333770752,78.5377578735,0.0,48.0684585571,139.240402222,-120.454490662,0.0126098785549
1625078170567943604,829,1625078170531132936,camera_color_optical_frame,243.248977661,81.1776046753,0.0,2.85792016983,141.771347046,-127.563194275,0.0117422193289
1625078170666029829,830,1625078170633503913,camera_color_optical_frame,249.504272461,81.4063491821,0.0,-14.5129623413,157.404571533,-104.238548279,0.00742578972131
1625078170765385041,831,1625078170718782901,camera_color_optical_frame,255.258377075,79.5846405029,0.0,-18.0834655762,169.349136353,-80.0758132935,0.00718719745055
1625078170853966658,832,1625078170814380645,camera_color_optical_frame,257.334777832,80.1180419922,0.0,-21.1983566284,175.098632812,-63.8921737671,0.0070148636587
1625078170945629430,833,1625078170905951261,camera_color_optical_frame,264.781005859,88.2905807495,0.0,-44.9200973511,160.123321533,-88.9196395874,0.00779110146686
1625078171038678400,834,1625078171000406742,camera_color_optical_frame,255.648345947,86.9716110229,0.0,-44.4506530762,160.622833252,-88.1797561646,0.00799772236496
1625078171128189970,835,1625078171092898607,camera_color_optical_frame,237.37689209,86.3061676025,0.0,-42.307849884,156.330734253,-97.4116210938,0.00890089105815
1625078171221441973,836,1625078171182818651,camera_color_optical_frame,211.297088623,83.6873626709,0.0,-45.1927528381,157.3412323,-94.1175460815,0.00842893030494
1625078171304530748,837,1625078171271131753,camera_color_optical_frame,192.684463501,82.4055557251,0.0,-35.5607452393,150.037902832,-110.486991882,0.0101137720048
1625078171395022278,838,1625078171359769821,camera_color_optical_frame,162.684402466,85.3150177002,0.0,-35.7526550293,150.752349854,-109.334777832,0.0100376158953
1625078171500720760,839,1625078171458116054,camera_color_optical_frame,153.533584595,86.6424636841,0.0,-35.037361145,148.569274902,-112.846084595,0.0102540263906
1625078171598076498,840,1625078171554789304,camera_color_optical_frame,115.007720947,91.2319641113,0.0,-20.8839969635,138.210876465,-130.010482788,0.0126901930198
1625078171691763912,841,1625078171653370857,camera_color_optical_frame,98.3996200562,93.8472442627,0.0,-17.415813446,138.348815918,-130.413314819,0.0123637104407
1625078171788276327,842,1625078171750823259,camera_color_optical_frame,78.5691680908,93.9511871338,0.0,11.4052114487,141.402145386,-127.487754822,0.0125918760896
1625078171881992124,843,1625078171845120191,camera_color_optical_frame,83.6884460449,98.0964202881,0.0,-8.91874694824,128.968063354,-141.541915894,0.0140372086316
